grade,race,enrollment
-1,White,1051226.0
-1,Black,452464.0
-1,Hispanic,707866.0
-1,Asian,95604.0
-1,American Indian or Alaska Native,25142.0
-1,Native Hawaiian or other Pacific Islander,6400.0
-1,Two or more races,119822.0
0,White,3184940.0
0,Black,1015356.0
0,Hispanic,2054942.0
0,Asian,375076.0
0,American Indian or Alaska Native,67896.0
0,Native Hawaiian or other Pacific Islander,28062.0
0,Two or more races,415026.0
1,White,3097010.0
1,Black,1015226.0
1,Hispanic,1984364.0
1,Asian,374840.0
1,American Indian or Alaska Native,66084.0
1,Native Hawaiian or other Pacific Islander,28098.0
1,Two or more races,381816.0
2,White,3156080.0
2,Black,1043066.0
2,Hispanic,2009522.0
2,Asian,387134.0
2,American Indian or Alaska Native,67980.0
2,Native Hawaiian or other Pacific Islander,30202.0
2,Two or more races,379110.0
3,White,3163144.0
3,Black,1058746.0
3,Hispanic,2029768.0
3,Asian,400030.0
3,American Indian or Alaska Native,68780.0
3,Native Hawaiian or other Pacific Islander,30746.0
3,Two or more races,368006.0
4,White,3175964.0
4,Black,1055326.0
4,Hispanic,2044120.0
4,Asian,402252.0
4,American Indian or Alaska Native,69442.0
4,Native Hawaiian or other Pacific Islander,31128.0
4,Two or more races,358990.0
5,White,3226184.0
5,Black,1088752.0
5,Hispanic,2096590.0
5,Asian,392100.0
5,American Indian or Alaska Native,70572.0
5,Native Hawaiian or other Pacific Islander,31540.0
5,Two or more races,352208.0
6,White,3269908.0
6,Black,1101846.0
6,Hispanic,2118766.0
6,Asian,392208.0
6,American Indian or Alaska Native,72664.0
6,Native Hawaiian or other Pacific Islander,31132.0
6,Two or more races,348450.0
7,White,3372242.0
7,Black,1144370.0
7,Hispanic,2185778.0
7,Asian,392914.0
7,American Indian or Alaska Native,75698.0
7,Native Hawaiian or other Pacific Islander,30040.0
7,Two or more races,344522.0
8,White,3479664.0
8,Black,1166620.0
8,Hispanic,2244416.0
8,Asian,407006.0
8,American Indian or Alaska Native,76756.0
8,Native Hawaiian or other Pacific Islander,32190.0
8,Two or more races,342564.0
9,White,3682922.0
9,Black,1302722.0
9,Hispanic,2477778.0
9,Asian,421190.0
9,American Indian or Alaska Native,85182.0
9,Native Hawaiian or other Pacific Islander,37480.0
9,Two or more races,357648.0
10,White,3533190.0
10,Black,1130886.0
10,Hispanic,2248696.0
10,Asian,414094.0
10,American Indian or Alaska Native,74812.0
10,Native Hawaiian or other Pacific Islander,33022.0
10,Two or more races,314294.0
11,White,3460794.0
11,Black,1044532.0
11,Hispanic,2100778.0
11,Asian,415268.0
11,American Indian or Alaska Native,70584.0
11,Native Hawaiian or other Pacific Islander,31988.0
11,Two or more races,283086.0
12,White,3503232.0
12,Black,1012110.0
12,Hispanic,2019656.0
12,Asian,429630.0
12,American Indian or Alaska Native,71826.0
12,Native Hawaiian or other Pacific Islander,30018.0
12,Two or more races,267514.0
13,White,1932.0
13,Black,666.0
13,Hispanic,928.0
13,Asian,102.0
13,American Indian or Alaska Native,40.0
13,Native Hawaiian or other Pacific Islander,0.0
13,Two or more races,124.0
14,White,1794.0
14,Black,3246.0
14,Hispanic,6322.0
14,Asian,266.0
14,American Indian or Alaska Native,126.0
14,Native Hawaiian or other Pacific Islander,140.0
14,Two or more races,350.0
