year,race,num_disciplined
2011,American Indian or Alaska Native,4
2011,Asian,16
2011,Black,460
2011,Hispanic,40
2011,Native Hawaiian or other Pacific Islander,0
2011,Two or more races,16
2011,White,348
2013,American Indian or Alaska Native,0
2013,Asian,8
2013,Black,184
2013,Hispanic,30
2013,Native Hawaiian or other Pacific Islander,0
2013,Two or more races,12
2013,White,358
2015,American Indian or Alaska Native,0
2015,Asian,0
2015,Black,246
2015,Hispanic,16
2015,Native Hawaiian or other Pacific Islander,0
2015,Two or more races,4
2015,White,158
2017,American Indian or Alaska Native,2
2017,Asian,10
2017,Black,94
2017,Hispanic,30
2017,Native Hawaiian or other Pacific Islander,4
2017,Two or more races,4
2017,White,100
